title,description,date,startTime,endTime,location,track,speakers,capacity,duration,category
Creating a Sense of Community with Intention,A masterclass by Laurie Frank,2026-01-24,10:00,17:00,Bengaluru,Masterclass,Laurie Frank,80,420,Conference
Remarkable Program Design,A masterclass by Mark Collard,2026-01-24,10:00,17:00,Bengaluru,Masterclass,Mark Collard,80,420,Conference
Thinking Experientially,A masterclass by Laurie Frank,2026-01-25,10:00,17:00,Bengaluru,Masterclass,Laurie Frank,80,420,Conference
Critical Facilitation Skills,A masterclass by Mark Collard,2026-01-25,10:00,17:00,Bengaluru,Masterclass,Mark Collard,80,420,Conference
Creating a Sense of Community with Intention,A masterclass by Laurie Frank,2026-01-29,10:00,17:00,Pune,Masterclass,Laurie Frank,80,420,Conference
Remarkable Program Design,A masterclass by Mark Collard,2026-01-29,10:00,17:00,Pune,Masterclass,Mark Collard,80,420,Conference
Thinking Experientially,A masterclass by Laurie Frank,2026-01-30,10:00,17:00,Pune,Masterclass,Laurie Frank,80,420,Conference
Critical Facilitation Skills,A masterclass by Mark Collard,2026-01-30,10:00,17:00,Pune,Masterclass,Mark Collard,80,420,Conference
MISSION CRITICAL: An Intent-Based Leadership Simulation,Interactive leadership simulation focusing on intent-based leadership and decision-making under pressure.,2026-01-31,10:30,13:15,Pune,Experience Based T&D,"Arvind Khinvesra, Ameena Bukhari",80,165,Conference
Sport as a Medium for Social Justice,"Can play be a pathway to justice? This immersive session invites participants to explore what justice means to them and how the energy and spirit of sport can inspire equity, inclusion, and collective empowerment.",2026-01-31,10:30,13:15,Pune,Inclusive Practices,"Shubhomoy Bhaduri, Shikha Bohra",80,165,Conference
A workshop with Sarabjit Singh Wallia,Experience-based workshop session led by Sarabjit Singh Wallia.,2026-01-31,10:30,12:00,Pune,Experience Based T&D,Sarabjit Singh Wallia,80,90,Conference
"Designing Experiences That Stick: Tools for Connection, Reflection, and Growth","Practical tools to design engaging experiences that deepen connection, reflection, and growth for learners.",2026-01-31,10:30,12:00,Pune,Experience Based T&D,Sakshi Rawat,80,90,Conference
A social emotional learning workshop delivered through play!,"This workshop is about exploring the opportunities of SEL in any story. Take any classroom subject like history or geography and add more colour to it with reflective SEL questions. Learn how to come up with simple questions that fall in the categories of the 5 pillars of SEL: self-awareness, self-management, relationship management, responsible decision-making, and social awareness.",2026-01-31,14:15,17:30,Pune,K-12,Chetan Vohra,80,195,Conference
The Art of Learning to Learn,"This workshop, The Art of Learning to Learn, invites participants to explore how learning truly happens—within the mind, body, and experience of the learner. It is designed for educators, facilitators, coaches, and anyone curious about deepening their understanding of how humans make meaning, retain knowledge, and transform through awareness.",2026-01-31,12:15,13:15,Pune,K-12,Divya Arathi Madiazhagan,80,60,Conference
Beyond Psychological Safety: Integrating Somatics and the Polyvagal Lens in Experiential Facilitation,"Beyond Psychological Safety explores how embodied awareness can transform learning spaces into containers of genuine safety and depth. This 3-hour experiential session invites facilitators, educators, and coaches to discover how the nervous system shapes engagement, reflection, and connection.",2026-01-31,14:15,15:45,Pune,Experience Based T&D,Diyanat Ali,80,90,Conference
Setting the Benchmark: Quality Delivery & Price Standardisation in Experiential Education in India,The workshop aims to bring together key stakeholders to collaboratively define standards for delivery quality and pricing in the rapidly evolving experiential education sector.,2026-01-31,14:15,15:45,Pune,Experience Based T&D,Junaid Hussain,80,90,Conference
Differentiated Pedagogies Through the Lens of Puppetry and Voice Modulation,Inclusive education thrives on inclusive tools. This session positions puppetry and voice modulation as powerful pedagogical strategies for differentiated learning.,2026-01-31,14:15,15:45,Pune,Experience Based T&D,Rinti Sengupta,80,90,Conference
Unboring History: Discovering the Stories Things Tell,"In the age of AI, when facts are instantly accessible, memorizing historical data loses meaning. This session invites educators to move beyond content delivery toward cultivating historical thinking—the ability to look deeply, feel deeply, and think deeply.",2026-01-31,16:00,17:30,Pune,K-12,Prachi Dalal,80,90,Conference
Where Quiet Grows,"Where Quiet Grows is an immersive, nature-based creative workshop designed to explore the intersection of art, ecology, and wellbeing. It invites participants to experience nature as collaborator, guide, and healer through multi-sensory engagement and creative expression.",2026-01-31,10:30,12:00,Pune,Nature Based Practices,Ritu Dua,80,90,Conference
"Interactive Art, Theatre and Play as Experiential Pathways to Creating Safe Group Spaces for Sexuality Education","To make sexuality accessible, safe, contextual and experiential, this workshop uses Expressive Art Installations, Theatre of the Oppressed tools, Play for Peace games and Dance Movement Therapy practices.",2026-01-31,12:15,13:15,Pune,Inclusive Practices,Simran Sanganeria,80,60,Conference
"Play as Resistance: Reclaiming Joy, Justice, and Connection","Play as Resistance is an experiential learning workshop that invites participants to explore how playful facilitation can restore compassion, foster social justice, and build meaningful human connections across divides.",2026-01-31,14:15,17:30,Pune,Inclusive Practices,"Sinthuja Shanmuganathan, Swati Bhatt, Agyatmitra",80,195,Conference
Embodied Pedagogies: How Ritual and Belief Shape Learning Spaces,"This 90-minute session invites participants into an exploration of how belief systems, rituals, and ancestral wisdom can reshape the way we understand and facilitate learning.",2026-01-31,16:00,17:30,Pune,Nature Based Practices,Srishti Malpath,80,90,Conference
From Turbulence to Tranquility: Navigating Learning and Life with SEL,This workshop reimagines Social and Emotional Learning (SEL) as every child's entitlement—a compass that equips learners to face the future with confidence and courage.,2026-01-31,12:15,13:15,Pune,K-12,Sumita Gowdety,80,60,Conference
Designing the Experience: The Art and Architecture of Transformative Learning,"In experiential education, meaningful learning does not occur by chance, it is designed. This presentation explores Experience Design as the intentional architecture behind powerful experience-based training.",2026-01-31,12:15,13:15,Pune,Experience Based T&D,Usha Krishnan,80,60,Conference
Let the learning happen - Do not teach!,Have you struggled to 'teach' a concept or topic to your audience? This session is about 'not to teach - Let them learn'! You will experience ways to make the learning process interesting and engaging.,2026-01-31,10:30,12:00,Pune,Experience Based T&D,Vivek Yatnalkar,80,90,Conference
The Synthetic Friend: When AI Listens but No One Else Does,The Synthetic Friend invites educators to explore a quiet emotional revolution happening in classrooms as students begin to replace real connection with artificial companionship.,2026-01-31,10:30,12:00,Pune,K-12,Racy Shukla,80,90,Conference
Exploring The ObVerse - The other side of coin!,ObVerse is a deep dive into understanding - Why some of the Experiential Learning and Facilitation sessions land well while others don't.,2026-01-31,16:00,17:30,Pune,Experience Based T&D,Yateen Gharat,80,90,Conference
The Discipline of Subtraction,"When trying to create effective learning experiences, facilitators often make things too complicated. This session presents a simple design method: The Discipline of Subtraction.",2026-01-31,12:15,13:15,Pune,Experience Based T&D,Nidhi Mittal,80,60,Conference
Immersive Sound Meditation Session,A guided sound meditation to ground and reset through immersive auditory experience.,2026-02-01,09:30,10:30,Pune,Nature Based Practices,Gayatri Singh,80,60,Conference
From Fibre to Freedom,"From Fibre to Freedom is a hybrid workshop from the valleys of Ladakh that threads together the act of making and the act of understanding. Through the lens of spinning, the session invites participants to trace the journey of fibre from raw Pashmina and Yak wool.",2026-02-01,10:45,12:15,Pune,Experience Based T&D,"Anchita Kaul, Tsewang Yangzes",80,90,Conference
A Workshop with Vinay Sirsi,Interactive workshop facilitated by Vinay Sirsi.,2026-02-01,10:45,12:15,Pune,Experience Based T&D,Vinay Sirsi,80,90,Conference
NLP for Experiential Educators,This workshop invites experiential learning practitioners to discover how Neuro-Linguistic Programming can serve as a multidimensional tool to deepen the impact of the experiences they already curate.,2026-02-01,09:00,12:15,Pune,Experience Based T&D,Anup Talwar,80,195,Conference
Seeing Experiential Education in classroom through a Montessori Lens,This experiential session invites educators and facilitators to step into the Montessori approach. The workshop offers an experiential session based on how to use Montessori principles to re-design and scaffold learning spaces.,2026-02-01,13:15,14:45,Pune,K-12,Ashima Sheth,80,90,Conference
"Feel, Play, Grow","Step into a space where learning feels alive, where curiosity, play, and reflection meet. We explore how experiential methodology can help us build more connected classrooms and relationships.",2026-02-01,15:00,16:30,Pune,K-12,Hemali Gandhi,80,90,Conference
Cultivating Well-being Through the Practice of Mandala of Systems Awareness,"This workshop will explore the Mandala for Systems Awareness, a framework to help us reflect and understand the complexity and interconnectedness of life.",2026-02-01,09:00,12:15,Pune,K-12,"Jasmin Jasin, Sahala Harap",80,195,Conference
Atlas of Emotions – EMO Lab,"In this 3-hour experiential session, we'll explore the Atlas of Emotions — a powerful framework to understand the rich landscape of our emotional experiences.",2026-02-01,13:15,16:30,Pune,Experience Based T&D,"Kavitha Talreja, Roopashree Surana",80,195,Conference
Forest of Stories: Exploring Identity through Storying and Re-storying,"In Narrative Therapy, stories hold a significant value in a person's life. Through movement, nature and art-based activities, this workshop will explore the formation of stories of our lives.",2026-02-01,10:45,12:15,Pune,Nature Based Practices,Mukta Joshi,80,90,Conference
SHAKTI Warriors- Warriors in Action,"This interactive workshop introduces SHAKTI Warriors, a pioneering program that brings Social and Emotional Development (SED) to life through gamification, storytelling, and play.",2026-02-01,09:00,10:30,Pune,K-12,"Natasha Nayar, Lane Jabaay",80,90,Conference
The body knows your power: Embodied learning to nurture learners' agency,"This 90-minute session invites participants to rediscover agency through their own bodies and relationships, using improvisational theatre and guided movement.",2026-02-01,13:15,14:45,Pune,Experience Based T&D,"Niken Rasarati, Tuuli Utriainen",80,90,Conference
Experiential Education and Social Justice: Co-Creating Frameworks for Practice,"This three-hour interactive workshop explores the intersections of experiential education and social justice, inviting educators into a space of reflection, dialogue, and co-creation.",2026-02-01,13:15,16:30,Pune,K-12,Pratyay Malakar,80,195,Conference
Mindful Conflict Management: Building Collaborative Culture at the Workplace,"In this workshop, participants will explore a chosen topic using Psychodrama and Sociodrama, experiential methods developed by Dr. J. L. Moreno.",2026-02-01,09:00,12:15,Pune,Experience Based T&D,Rashmi Datt,80,195,Conference
Beyond the Binary: Reimagining Safety and Inclusion for Trans and Gender-Diverse People in Outdoor and Experiential Learning,Trans* and gender-diverse individuals often face barriers to inclusion. This workshop invites educators to reimagine what safety and belonging can mean.,2026-02-01,09:00,10:30,Pune,Inclusive Practices,Riju Banerjee,80,90,Conference
Panels of Possibility: Learning Comic Writing as an EE Tool,"Comics engage Head, Heart and Hand beautifully. Used judiciously, comics can be like colourful little superheroes - simplifying complex ideas and enabling powerful reflection.",2026-02-01,15:00,16:30,Pune,Experience Based T&D,Tanushree Banerji,80,90,Conference
What can Leaders learn from School Principals,"The workshop will explore the critical role Program Leaders play in the success of a program unit. Participants will explore the three board frameworks (People, Program, Operations).",2026-02-01,13:15,14:45,Pune,K-12,"Somsuvra Chatterjee, Caroline Nagar",80,90,Conference
Embodied Listening': The Art of Receiving,"In the 'Embodied Listening' workshop, we shall experience how the act and presence of deep listening actually feels like. A framework called 'Open Window Listening' will be introduced.",2026-02-01,13:15,14:15,Pune,Experience Based T&D,Nidhi Chavan,80,60,Conference
Connecting with the Self 2 through Self 1: Tapping into the unconscious through conscious triggers,"In high pressure moments, how does one cut through the mind's chatter and perform to their best of abilities? In this session we put into application the theory of Self 1 and Self 2.",2026-02-01,09:00,10:30,Pune,Experience Based T&D,Aaryan Sen,80,90,Conference
The Facilitator as Instrument: Exploring Embodied Presence in Experiential Learning,"What if the real method is who we are while doing it? Embodied facilitation recognizes that our body, breath, and nervous system constantly communicate.",2026-02-01,15:00,16:00,Pune,Experience Based T&D,Zuhail Babu P,80,60,Conference
Contextual Sensitisers,Hands-on practice to design contextual sensitisers that align facilitation with participant realities and session goals.,2026-02-01,15:00,16:30,Pune,Experience Based T&D,Rutesh Panditrao,80,90,Conference